the_geom,COMPLEXID,SAFTYPE,SEGMENTID,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
POINT (-73.93149397004032 40.84419199998088),401,N,193927,1,1031153,8,0,1,04/12/2018 12:00:00 AM +0000,03/12/2020 12:00:00 AM +0000,6,DCP,11095502,0,HRD RAMP TO GWB OVER HRD SB
POINT (-74.196729991945 40.63526107028508),0,N,321726,1,19954,8,0,5,03/15/2008 12:00:00 AM +0000,03/16/2020 12:00:00 AM +0000,6,DCP,59703501,0,GOETHALS
POINT (-73.9580216105277 40.75848681229432),0,N,138896,1,1026908,8,0,1,10/20/2015 12:00:00 AM +0000,03/16/2020 12:00:00 AM +0000,6,DoITT,19792015,0,KOCH BR PEDESTRIAN AND BIKE PATH
POINT (-73.95061614358269 40.755299567687125),0,N,139388,1,1026909,8,0,4,10/20/2015 12:00:00 AM +0000,03/16/2020 12:00:00 AM +0000,6,DoITT,49734017,0,KOCH BR PEDESTRIAN AND BIKE
POINT (-73.81678346994171 40.78815244048363),0,N,179357,2,1031297,8,0,4,04/13/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,40074101,0,14 AV OV BELT CROSS ISL PKWY
POINT (-73.82615714925024 40.759793469864405),0,N,91318,1,1031312,8,0,4,04/13/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,40078101,0,UNION ST OVER LIRR PORT WASH BR
POINT (-73.81611636010126 40.76254832987148),0,N,91681,2,1031316,8,0,4,04/13/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,42319006,0,149 ST BR OVR LIRR PORT WASH BR
POINT (-73.90009437988503 40.743127348304334),0,N,75558,1,1031323,8,0,4,04/13/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,41374004,0,65 STREET OVER LIRR
POINT (-73.89208418942773 40.742917689833284),0,N,74443,1,1031341,8,0,4,04/13/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,40078201,0,WOODSIDE AVE OVER CSX TRANSPORT
POINT (-73.84692456827754 40.67036293740125),0,N,257136,2,1031365,8,0,4,04/13/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,45871340,0,WHITELAW ST PEDESTRIAN
POINT (-73.93118460874322 40.714284752256745),0,N,304455,2,1006964,8,0,3,07/28/2011 12:00:00 AM +0000,12/27/2016 12:00:00 AM +0000,6,OTHER,36053004,0,METROPOLITAN AVENUE
POINT (-73.92637826650677 40.82048017668885),0,N,150259,1,1031488,8,0,2,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,20067901,0,GND CNCSE OV METRO N HDSN LINE
POINT (-74.15703294978515 40.63386360065345),0,N,194756,2,1031583,8,0,5,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,50037201,0,DE HART AVE OVER B&O RAILRD
POINT (-73.99894475023616 40.649171999742244),427,N,21100,1,1031733,8,0,3,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,30065501,0,7 AVENUE OVER NYCT YARD
POINT (-74.02602928082112 40.64029905046202),0,N,17662,1,1031739,8,0,3,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,30063801,0,2 AVENUE OVER LIRR BAY RIDGE
POINT (-74.04081905162191 40.63011094869236),0,N,231282,1,1031762,8,0,3,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,37016514,0,SHORE PKWY GREENWAY-80 ST PED
POINT (-73.96208283008812 40.62900379007517),0,N,121371,1,1031764,8,0,3,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,37016510,0,15 ST FOOTBRIDGE
POINT (-73.97441486921457 40.627605399967955),0,N,26677,2,1031769,8,0,3,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,30079101,0,EAST    3 ST OVER LIRR BAY RIDGE
POINT (-73.99596006011926 40.624335399887755),0,N,20032,1,1031780,8,0,3,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,30658003,0,15 AVE BR OVR LIRR NYCT SEABCH
